iter	Passed	Remaining
963	12409	463
964	12411	450
965	12413	436
966	12416	423
967	12418	410
968	12420	397
969	12422	384
970	12424	371
971	12427	357
972	12429	344
973	12431	331
974	12433	318
975	12435	305
976	12437	292
977	12439	279
978	12441	266
979	12443	253
980	12444	241
981	12446	228
982	12448	215
983	12450	202
984	12451	189
985	12453	176
986	12455	164
987	12457	151
988	12459	138
989	12460	125
990	12462	113
991	12463	100
992	12465	87
993	12467	75
994	12469	62
995	12471	50
996	12473	37
997	12475	25
998	12476	12
999	12479	0
