﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     PS02,     TX01,     TD01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01,     PP02,     SS01,     GR01,     VS01,     UV01,     CD11,     TS01,     TS02,     TS03,     TS04,     TS05,     TS06,     TS07
466990, 2024111222,   1013.3,   1015.5,     23.3,     22.3,       94,      5.8,    350.0,      9.7,     10.0,     13.5,      1.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111223,   1013.1,   1015.3,     22.9,     21.7,       93,      3.9,    340.0,      9.9,    350.0,      4.0,      1.0,     None,     0.01,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111224,   1012.3,   1014.5,     23.0,     22.0,       94,      2.7,    200.0,      4.6,    340.0,      0.5,      0.6,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111301,   1012.4,   1014.6,     23.0,     22.0,       94,      1.7,    160.0,      3.7,    200.0,     -9.8,      0.3,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111302,   1012.2,   1014.4,     22.4,     21.4,       94,      2.6,     20.0,      4.9,     10.0,      2.5,      0.9,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111303,   1011.8,   1014.0,     22.1,     21.1,       94,      4.4,    340.0,      7.2,    340.0,      0.5,      1.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111304,   1010.8,   1013.0,     22.6,     21.2,       92,      4.0,    340.0,      8.4,    330.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111305,   1010.8,   1013.0,     23.1,     21.4,       90,      1.2,    350.0,      5.8,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     22.7,     22.8,     23.2,     23.8,     24.9,     25.9,     26.4
466990, 2024111306,   1011.3,   1013.5,     22.7,     21.5,       93,      3.0,    240.0,      4.3,    240.0,      0.5,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111307,   1011.6,   1013.8,     22.8,     21.6,       93,      4.6,    240.0,      6.8,    230.0,      0.0,      0.0,      0.1,     0.11,     None,     0.07,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111308,   1012.4,   1014.6,     23.8,     22.4,       92,      1.7,    290.0,      6.4,    230.0,      0.0,      0.0,      0.0,     0.38,     12.0,     0.54,      9.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111309,   1012.6,   1014.8,     26.0,     23.7,       87,      1.2,    250.0,      2.9,    260.0,      0.0,      0.0,      0.4,      1.3,     15.0,     2.33,      7.0,     23.8,     23.3,     23.4,     23.6,     24.6,     25.7,     26.4
466990, 2024111310,   1012.6,   1014.8,     27.9,     24.3,       81,      2.4,    110.0,      3.3,     90.0,      0.0,      0.0,      0.9,     2.45,     None,     5.31,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111311,   1012.3,   1014.5,     30.0,     24.4,       72,      2.3,     90.0,      4.1,    110.0,      0.0,      0.0,      0.3,     1.59,     15.0,      6.0,      8.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111312,   1011.6,   1013.8,     27.4,     22.4,       74,      2.6,     70.0,      4.6,     80.0,      0.0,      0.0,      0.1,     1.62,     None,     5.75,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111313,   1011.1,   1013.3,     27.2,     23.7,       81,      3.0,     70.0,      5.8,     40.0,      0.0,      0.0,      0.5,     2.32,     None,     6.73,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111314,   1010.8,   1013.0,     27.1,     23.8,       82,      2.6,    110.0,      5.3,     70.0,      0.0,      0.0,      0.9,     1.97,     20.0,     5.18,      7.0,     27.8,     27.0,     26.5,     25.0,     25.1,     25.7,     26.4
466990, 2024111315,   1010.9,   1013.1,     26.1,     23.8,       87,      2.5,    150.0,      5.2,    160.0,      0.0,      0.0,      0.4,     1.11,     None,     2.69,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111316,   1011.1,   1013.3,     26.0,     23.9,       88,      0.9,    200.0,      2.9,    140.0,      0.0,      0.0,      0.1,     0.56,     None,     0.86,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111317,   1011.3,   1013.5,     26.1,     23.8,       87,      0.8,    120.0,      2.2,    140.0,      0.0,      0.0,      0.0,     0.17,     20.0,     0.12,      8.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111318,   1011.8,   1014.0,     25.9,     24.0,       89,      1.3,    100.0,      2.4,    120.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111319,   1012.5,   1014.7,     26.0,     24.1,       89,      0.9,     30.0,      1.6,     90.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111320,   1013.1,   1015.3,     26.0,     23.9,       88,      1.3,     20.0,      2.2,     20.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111321,   1013.4,   1015.6,     25.4,     24.0,       92,      0.7,     30.0,      2.8,    350.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     25.5,     25.6,     25.9,     26.0,     26.1,     26.1,     26.4
466990, 2024111322,   1013.4,   1015.6,     25.2,     24.0,       93,      1.9,    350.0,      3.3,    330.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111323,   1013.2,   1015.4,     25.0,     23.8,       93,      1.9,    340.0,      2.8,    330.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111324,   1012.6,   1014.8,     24.5,     23.1,       92,      1.1,    280.0,      2.7,    320.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111401,   1012.1,   1014.3,     23.8,     22.8,       94,      1.7,    270.0,      3.4,    270.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111402,   1011.5,   1013.7,     23.5,     22.1,       92,      1.8,    250.0,      3.4,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111403,   1011.1,   1013.3,     23.6,     22.6,       94,      2.9,    240.0,      4.2,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111404,   1011.3,   1013.5,     23.2,     22.2,       94,      3.0,    230.0,      4.9,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111405,   1011.4,   1013.6,     22.9,     21.9,       94,      3.1,    240.0,      4.7,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.4,     23.8,     24.2,     24.9,     25.7,     26.3,     26.4
466990, 2024111406,   1012.0,   1014.2,     23.2,     22.0,       93,      3.5,    240.0,      5.6,    230.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111407,   1012.5,   1014.7,     23.1,     21.7,       92,      2.8,    250.0,      4.9,    230.0,      0.0,      0.0,      0.5,     0.16,     None,     0.09,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111408,   1013.1,   1015.3,     25.0,     22.9,       88,      3.3,    230.0,      6.2,    230.0,      0.0,      0.0,      1.0,     0.85,     20.0,     0.82,      4.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111409,   1013.6,   1015.8,     25.7,     22.4,       82,      3.3,    230.0,      5.8,    230.0,      0.0,      0.0,      0.4,      0.9,     20.0,     2.01,      8.0,     23.9,     23.6,     23.8,     24.3,     25.4,     26.2,     26.4
466990, 2024111410,   1013.6,   1015.8,     26.3,     22.2,       78,      3.2,    230.0,      5.5,    210.0,      0.0,      0.0,      0.0,     0.91,     None,     2.94,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111411,   1012.3,   1014.5,     25.5,     22.4,       83,      5.7,    220.0,      8.2,    220.0,     -9.8,      0.3,      0.0,      0.4,     20.0,      3.1,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111412,   1010.8,   1013.0,     26.8,     22.4,       77,      2.9,    170.0,      7.0,    240.0,     -9.8,      0.1,      0.0,     1.08,     None,     4.32,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111413,   1010.7,   1012.9,     27.7,     22.7,       74,      3.0,    260.0,      7.4,    110.0,      0.0,      0.0,      0.0,     1.31,     None,     4.82,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111414,   1010.7,   1012.9,     27.5,     22.0,       72,      1.6,    220.0,      3.3,    200.0,      0.0,      0.0,      0.0,     0.82,     20.0,     2.91,     10.0,     26.7,     25.8,     25.6,     24.9,     25.3,     26.1,     26.4
466990, 2024111415,   1010.0,   1012.2,     28.1,     22.8,       73,      1.9,    240.0,      3.5,    230.0,     -9.8,      0.1,      0.0,     0.84,     None,     1.98,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111416,   1009.7,   1011.9,     27.1,     23.4,       80,      2.5,    160.0,      3.9,    160.0,      0.0,      0.0,      0.2,     0.78,     None,     0.99,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111417,   1009.9,   1012.1,     26.5,     23.6,       84,      2.0,    160.0,      4.5,    160.0,      0.0,      0.0,      0.0,     0.25,     25.0,     0.16,      7.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111418,   1011.0,   1013.2,     26.2,     24.2,       89,      2.7,    150.0,      5.0,    180.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111419,   1011.4,   1013.6,     25.2,     23.8,       92,      3.0,    150.0,      5.8,    160.0,     -9.8,      0.1,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111420,   1011.4,   1013.6,     24.8,     23.6,       93,      1.8,    270.0,      5.7,    170.0,     -9.8,      0.5,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111421,   1011.5,   1013.7,     24.7,     23.5,       93,      1.2,    280.0,      2.4,    290.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     25.1,     25.1,     25.4,     25.5,     25.9,     26.3,     26.4
466990, 2024111422,   1011.8,   1014.0,     24.4,     23.2,       93,      2.9,    290.0,      4.7,    290.0,      1.0,      0.3,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111423,   1011.6,   1013.8,     24.3,     23.3,       94,      1.5,    240.0,      5.3,    290.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111424,   1010.6,   1012.8,     23.8,     23.0,       95,      3.1,    230.0,      4.8,    220.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111501,   1010.0,   1012.2,     23.6,     22.8,       95,      3.1,    220.0,      5.1,    220.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111502,   1009.8,   1012.0,     23.4,     22.6,       95,      3.2,    230.0,      7.6,    220.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111503,   1009.5,   1011.7,     23.4,     22.4,       94,      3.0,    240.0,      5.7,    220.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111504,   1009.4,   1011.6,     23.4,     22.4,       94,      3.4,    230.0,      5.9,    230.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111505,   1009.0,   1011.2,     23.4,     22.2,       93,      4.2,    220.0,      7.0,    240.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.6,     23.7,     24.2,     24.6,     25.5,     26.3,     26.4
466990, 2024111506,   1009.6,   1011.8,     23.6,     22.2,       92,      3.9,    240.0,      6.8,    220.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111507,   1009.9,   1012.1,     23.7,     22.1,       91,      4.9,    230.0,      7.0,    220.0,      0.0,      0.0,      0.0,     0.04,     None,     0.06,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111508,   1010.0,   1012.2,     24.8,     22.7,       88,      4.2,    220.0,      8.2,    240.0,      0.0,      0.0,      0.0,     0.34,     25.0,     0.64,      7.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111509,   1009.6,   1011.8,     26.5,     22.8,       80,      4.9,    200.0,      7.8,    220.0,      0.0,      0.0,      0.5,     1.12,     25.0,     2.11,      8.0,     24.3,     23.9,     24.0,     24.3,     25.2,     26.2,     26.4
466990, 2024111510,   1009.4,   1011.6,     27.6,     23.0,       76,      4.7,    220.0,      7.6,    200.0,      0.0,      0.0,      0.1,      1.3,     None,     3.61,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111511,   1008.6,   1010.8,     28.6,     22.8,       71,      3.7,    220.0,      7.2,    210.0,      0.0,      0.0,      0.2,     1.64,     25.0,     5.15,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111512,   1007.4,   1009.6,     28.9,     22.9,       70,      3.7,    220.0,      6.4,    240.0,      0.0,      0.0,      0.0,     1.09,     None,     3.94,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111513,   1006.9,   1009.1,     28.0,     24.0,       79,      5.1,    200.0,      9.1,    180.0,     -9.8,      0.1,      0.0,     0.95,     None,     3.47,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111514,   1006.7,   1008.9,     27.7,     24.2,       81,      5.6,    190.0,      8.3,    210.0,     -9.8,      0.3,      0.0,      0.9,     25.0,     2.79,     10.0,     26.8,     26.1,     26.0,     25.1,     25.4,     26.2,     26.5
466990, 2024111515,   1006.6,   1008.8,     26.9,     24.0,       84,      4.7,    180.0,      7.4,    180.0,      0.0,      0.0,      0.0,     0.57,     None,     1.49,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111516,   1006.5,   1008.7,     26.8,     24.1,       85,      5.5,    190.0,      8.0,    160.0,     -9.8,      0.2,      0.0,     0.31,     None,     0.53,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111517,   1006.8,   1009.0,     26.7,     22.6,       78,      3.9,    220.0,      5.8,    240.0,     -9.8,      0.2,      0.0,     0.12,     20.0,     0.12,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111518,   1007.1,   1009.3,     26.1,     22.8,       82,      3.8,    220.0,      6.7,    220.0,     -9.8,      0.3,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111519,   1007.8,   1010.0,     25.9,     22.6,       82,      3.6,    240.0,      5.2,    210.0,     -9.8,      0.1,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111520,   1008.5,   1010.7,     24.3,     22.7,       91,      5.0,    230.0,      8.1,    230.0,      0.5,      0.5,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111521,   1009.4,   1011.6,     23.9,     22.9,       94,      5.5,    220.0,      9.6,    210.0,      3.5,      1.0,     None,      0.0,     None,      0.0,     None,     24.7,     24.8,     25.2,     25.4,     25.9,     26.4,     26.5
466990, 2024111522,   1008.4,   1010.6,     23.7,     22.9,       95,      0.9,    240.0,      7.0,    210.0,      2.0,      0.6,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111523,   1007.6,   1009.8,     23.4,     22.7,       96,      3.6,    230.0,      5.1,    230.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111524,   1007.8,   1010.0,     23.5,     22.8,       96,      3.3,    220.0,      7.7,    200.0,     -9.8,      0.2,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111601,   1007.2,   1009.4,     23.1,     22.4,       96,      3.6,    230.0,      7.1,    230.0,      0.5,      0.4,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111602,   1006.3,   1008.5,     23.2,     22.4,       95,      3.6,    190.0,      6.9,    220.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111603,   1006.5,   1008.7,     23.3,     22.3,       94,      4.2,    220.0,      7.6,    200.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111604,   1006.1,   1008.3,     22.9,     22.1,       95,      3.1,    230.0,      7.4,    210.0,      1.5,      0.9,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111605,   1006.7,   1008.9,     23.3,     22.6,       96,      1.4,    220.0,      5.9,    200.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     23.6,     23.7,     24.0,     24.5,     25.4,     26.4,     26.5
466990, 2024111606,   1006.8,   1009.0,     22.8,     22.1,       96,      3.2,    230.0,      5.4,    230.0,     -9.8,      0.1,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111607,   1007.5,   1009.7,     22.8,     22.0,       95,      2.0,    220.0,      5.7,    210.0,     -9.8,      0.3,      0.0,     0.02,     None,     0.01,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111608,   1008.0,   1010.2,     22.9,     22.1,       95,      3.3,    230.0,      5.7,    200.0,     -9.8,      0.1,      0.0,     0.09,     10.0,     0.15,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111609,   1007.8,   1010.0,     23.2,     22.4,       95,      4.3,    210.0,      7.1,    230.0,     -9.8,      0.3,      0.0,     0.22,      8.0,     0.56,     10.0,     23.5,     23.5,     23.8,     24.2,     25.1,     26.2,     26.5
466990, 2024111610,   1008.4,   1010.6,     23.8,     22.8,       94,      3.7,    220.0,      7.6,    220.0,     -9.8,      1.0,      0.0,     0.41,     None,     1.33,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111611,   1008.3,   1010.5,     24.2,     22.8,       92,      3.1,    240.0,      6.0,    240.0,     -9.8,      1.0,      0.0,      0.5,      8.0,     1.79,     10.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111612,   1007.2,   1009.4,     27.3,     24.2,       83,      1.7,    250.0,      4.5,    230.0,     -9.8,      0.1,      0.3,     1.53,     None,     4.66,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111613,   1006.4,   1008.6,     27.1,     23.4,       80,      2.7,    110.0,      3.7,    120.0,      0.0,      0.0,      0.9,     2.78,     None,     7.29,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111614,   1006.1,   1008.3,     26.8,     23.1,       80,      1.5,     60.0,      3.4,    110.0,      0.0,      0.0,      0.0,     1.02,     20.0,     3.13,      9.0,     26.9,     26.3,     25.9,     24.6,     25.1,     26.1,     26.5
466990, 2024111615,   1006.3,   1008.5,     26.6,     23.5,       83,      1.1,     60.0,      2.7,     70.0,      0.0,      0.0,      0.0,     0.76,     None,     1.72,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111616,   1006.5,   1008.7,     26.5,     23.4,       83,      1.1,     60.0,      2.7,     80.0,      0.0,      0.0,      0.0,     0.57,     None,     0.81,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111617,   1006.8,   1009.0,     26.2,     23.3,       84,      1.4,     30.0,      2.0,     80.0,      0.0,      0.0,      0.3,     0.31,     20.0,     0.13,      5.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111618,   1008.0,   1010.2,     25.8,     23.1,       85,      1.6,    360.0,      3.3,     30.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111619,   1008.9,   1011.1,     25.5,     23.6,       89,      1.4,     10.0,      3.3,    360.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111620,   1009.4,   1011.6,     25.3,     23.4,       89,      2.7,     30.0,      4.9,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111621,   1009.9,   1012.1,     24.6,     23.6,       94,      2.6,     40.0,      4.9,     30.0,      0.5,      0.6,     None,      0.0,     None,      0.0,     None,     25.1,     25.1,     25.4,     25.5,     25.9,     26.2,     26.5
466990, 2024111622,   1009.8,   1012.0,     24.5,     23.6,       95,      1.8,     20.0,      4.8,     40.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111623,   1009.2,   1011.4,     24.4,     23.5,       95,      1.2,    340.0,      4.0,     10.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111624,   1009.1,   1011.3,     24.3,     23.4,       95,      1.3,    320.0,      2.5,    350.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111701,   1009.3,   1011.5,     24.2,     23.2,       94,      1.8,    330.0,      3.3,    340.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111702,   1008.9,   1011.1,     24.3,     23.3,       94,      0.7,    290.0,      2.5,    330.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111703,   1008.8,   1011.0,     23.9,     22.7,       93,      1.1,    300.0,      2.0,    300.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111704,   1008.9,   1011.1,     24.0,     22.8,       93,      0.3,    320.0,      1.8,    300.0,      0.0,      0.0,     None,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111705,   1009.6,   1011.8,     23.9,     22.7,       93,      1.0,    240.0,      1.4,    230.0,     -9.8,      0.1,     None,      0.0,     None,      0.0,     None,     24.1,     24.1,     24.5,     24.8,     25.6,     26.3,     26.5
466990, 2024111706,   1010.6,   1012.8,     24.0,     22.8,       93,      0.2,      0.0,      2.0,    310.0,      0.0,      0.0,      0.0,      0.0,     None,      0.0,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111707,   1011.3,   1013.5,     23.8,     22.6,       93,      0.9,    260.0,      2.5,    330.0,      0.0,      0.0,      0.1,     0.09,     None,     0.08,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111708,   1012.3,   1014.5,     24.9,     22.8,       88,      1.7,    220.0,      2.6,    220.0,      0.0,      0.0,      0.8,     0.77,     18.0,     0.69,      6.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111709,   1013.0,   1015.2,     26.4,     23.5,       84,      1.1,    140.0,      2.2,    230.0,      0.0,      0.0,      0.3,     0.91,     18.0,      2.0,      6.0,     24.4,     24.1,     24.3,     24.5,     25.4,     26.2,     26.5
466990, 2024111710,   1012.5,   1014.7,     26.4,     22.9,       81,      1.4,     90.0,      3.6,    120.0,      0.0,      0.0,      1.0,     2.06,     None,     4.37,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111711,   1012.4,   1014.6,     27.6,     22.1,       72,      5.9,     50.0,      8.1,     50.0,      0.0,      0.0,      0.7,     2.35,     18.0,     5.77,      9.0,     None,     None,     None,     None,     None,     None,     None
466990, 2024111712,   1011.9,   1014.1,     27.1,     22.3,       75,      5.1,     30.0,      9.8,     20.0,      0.0,      0.0,      0.2,     1.69,     None,     5.02,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111713,   1011.1,   1013.3,     27.8,     22.3,       72,      6.5,     40.0,     12.8,     20.0,      0.0,      0.0,      0.7,     2.18,     None,      6.1,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111714,   1011.1,   1013.3,     27.2,     22.0,       73,      7.6,     30.0,     13.2,     30.0,      0.0,      0.0,      0.7,     1.86,     18.0,     4.59,      5.0,     27.0,     26.8,     26.6,     25.5,     25.6,     26.2,     26.5
466990, 2024111715,   1011.4,   1013.6,     26.0,     21.2,       75,      6.5,     30.0,     15.1,     50.0,      0.0,      0.0,      0.8,     1.78,     None,     3.03,     None,     None,     None,     None,     None,     None,     None,     None
466990, 2024111716,   1012.2,   1014.4,     25.3,     21.0,       77,      7.2,     30.0,     13.9,     50.0,      0.0,      0.0,      0.0,     0.36,     None,     0.82,     None,     None,     None,     None,     None,     None,     None,     None
