﻿"* MH (Multifield Hourly Data Format)"
"* 以 '*' 字元開頭的文字為格式說明"
"* 以 '#' 字元開頭的文字為氣象資料欄位標題列7個字元一組"
********************************************************************************
"* 格式說明:"
"* 站碼(stno) 時間(yyyymmddhh)  氣象資料欄位"
"* 1~6        8~17              第18個字元開始每個氣象要素(欄位)7個字元"
"* 時間為當地時間(LocalTime)"
"* yyyy:西元年"
"* mm:月"
"* dd:日"
"* hh:時"
********************************************************************************
"* 欄位標題說明:"
"* CD01 高雲高度(km)"
"* CD02 中雲高度(km)"
"* CD03 低雲高度(km)"
"* CD04 高雲量(10分量)"
"* CD05 中雲量(10分量)"
"* CD06 低雲量(10分量)"
"* CD07 高雲狀"
"* CD08 中雲狀"
"* CD09 低雲狀"
"* CD10 雲冪高(km)"
"* CD11 總雲量(10分量)"
"* EP05 A型蒸發量(mm)"
"* GR01 全天空日射量(MJ/㎡)"
"* PP01 降水量(mm)"
"* PP02 降水時數(hour)"
"* PS01 測站氣壓(hPa)"
"* PS02 海平面氣壓(hPa)"
"* PS11 氣壓趨勢"
"* RH01 相對溼度(%)"
"* SS01 日照時數(hour)"
"* ST01 天空狀況"
"* ST02 地面狀況"
"* ST03 雷暴"
"* ST04 液態降水1"
"* ST05 液態降水2"
"* ST06 固態降水1"
"* ST07 固態降水2"
"* ST08 固態降水3"
"* ST09 視障1"
"* ST10 視障2"
"* ST11 光象1"
"* ST12 光象2"
"* TD01 露點溫度(℃)"
"* TS01 地表溫度0cm(℃)"
"* TS02 地中溫度5cm(℃)"
"* TS03 地中溫度10cm(℃)"
"* TS04 地中溫度20cm(℃)"
"* TS05 地中溫度30cm(℃)"
"* TS06 地中溫度50cm(℃)"
"* TS07 地中溫度100cm(℃)"
"* TW01 溼球溫度(℃)"
"* TX01 氣溫(℃)"
"* TX02 絕對最高氣溫(℃)"
"* TX04 絕對最低氣溫(℃)"
"* VP01 水氣壓(hPa)"
"* VP06 飽和水氣壓(hPa)"
"* VS01 能見度(km)"
"* WD01 平均風風速(m/s)"
"* WD02 平均風風向(360 degree)"
"* WD04 最大平均風風速(m/s)"
"* WD05 最大平均風風向(360 degree)"
"* WD07 最大瞬間風風速(m/s)"
"* WD08 最大瞬間風風向(360 degree)"
"* UV01 紫外線指數"
********************************************************************************
"* 特殊值:"
"* -999.1:儀器故障待修"
"* -9.6/-999.6:資料累計於後"
"* -9.5/-99.5/-999.5/-999.5/-9999.5:因故障而無資料"
"* -9.7/-99.7/-999.7/-999.7/-9999.7:因不明原因而無資料"
"* -9.8:雨跡(Trace)"
"* None:未觀測而無資料"
********************************************************************************
# stno, yyyymmddhh,     PS01,     TX01,     RH01,     WD01,     WD02,     WD07,     WD08,     PP01
C0Z100, 2024110416,   1012.8,     25.1,       87,      1.4,     21.0,      5.5,     39.0,      0.0
C0Z100, 2024110417,   1013.3,     23.5,       93,      0.7,     18.0,      5.5,     27.0,      0.0
C0Z100, 2024110418,   1013.8,     22.7,       98,      0.1,      0.0,      3.6,    346.0,      1.0
C0Z100, 2024110419,   1014.3,     22.3,       98,      0.0,      0.0,      2.2,      1.0,      0.5
C0Z100, 2024110420,   1015.0,     22.3,       94,      0.3,    360.0,      2.9,     14.0,      0.0
C0Z100, 2024110421,   1015.5,     22.7,       86,      0.6,     40.0,      4.2,     70.0,      0.0
C0Z100, 2024110422,   1015.5,     22.1,       92,      0.0,      0.0,      3.1,    325.0,      0.0
C0Z100, 2024110423,   1015.4,     21.7,       96,      0.0,      0.0,      0.9,    354.0,      0.0
C0Z100, 2024110424,   1014.5,     21.8,       96,      0.0,      0.0,      1.2,    306.0,      0.0
C0Z100, 2024110501,   1013.7,     21.3,       98,      0.0,      0.0,      0.7,    305.0,      0.0
C0Z100, 2024110502,   1013.4,     21.3,       96,      0.0,      0.0,      1.2,    301.0,      0.0
C0Z100, 2024110503,   1013.3,     21.3,       95,      0.0,      0.0,      1.3,    298.0,      0.0
C0Z100, 2024110504,   1013.0,     21.3,       94,      0.0,      0.0,      1.7,    297.0,      0.0
C0Z100, 2024110505,   1013.5,     20.5,       99,      0.2,      0.0,      0.8,    286.0,      0.0
C0Z100, 2024110506,   1014.5,     20.5,      100,      0.1,      0.0,      0.8,    286.0,      0.0
C0Z100, 2024110507,   1015.1,     20.4,      100,      0.0,      0.0,      1.3,    286.0,      0.0
C0Z100, 2024110508,   1016.1,     24.3,       81,      0.3,    285.0,      1.6,    285.0,      0.0
C0Z100, 2024110509,   1015.7,     27.7,       73,      0.2,      0.0,      1.9,    285.0,      0.0
C0Z100, 2024110510,   1015.0,     28.2,       65,      0.3,    181.0,      1.7,    285.0,      0.0
C0Z100, 2024110511,   1014.2,     28.3,       62,      1.6,     62.0,      4.8,     80.0,      0.0
C0Z100, 2024110512,   1013.5,     28.2,       71,      2.2,     61.0,      6.4,     43.0,      0.0
C0Z100, 2024110513,   1012.5,     27.8,       68,      1.9,     56.0,      6.4,    360.0,      0.0
C0Z100, 2024110514,   1012.4,     27.7,       71,      2.4,     64.0,      6.7,     52.0,      0.0
C0Z100, 2024110515,   1012.7,     25.6,       77,      2.0,     44.0,      6.3,      2.0,      0.0
C0Z100, 2024110516,   1013.3,     24.8,       81,      1.5,     48.0,      5.8,     74.0,      0.0
C0Z100, 2024110517,   1013.9,     24.1,       84,      1.6,     30.0,      6.9,     55.0,      0.0
C0Z100, 2024110518,   1014.3,     23.8,       85,      1.5,     37.0,      6.4,     16.0,      0.0
C0Z100, 2024110519,   1015.2,     23.3,       87,      2.0,     33.0,      6.9,     16.0,      0.0
C0Z100, 2024110520,   1015.7,     22.8,       88,      2.0,     50.0,      8.6,      3.0,      0.0
C0Z100, 2024110521,   1016.5,     22.6,       86,      1.1,     25.0,      7.1,     10.0,      0.0
C0Z100, 2024110522,   1016.6,     22.3,       86,      0.8,     10.0,      4.7,     17.0,      0.0
C0Z100, 2024110523,   1016.0,     22.3,       81,      0.7,     26.0,      4.8,     14.0,      0.0
C0Z100, 2024110524,   1015.8,     22.4,       81,      1.0,     44.0,      3.6,     71.0,      0.0
C0Z100, 2024110601,   1015.6,     22.5,       78,      1.5,     38.0,      7.2,     59.0,      0.0
C0Z100, 2024110602,   1015.4,     22.1,       79,      1.3,     41.0,      5.7,     24.0,      0.0
C0Z100, 2024110603,   1015.3,     22.1,       77,      1.5,     43.0,      6.4,     63.0,      0.0
C0Z100, 2024110604,   1015.0,     22.3,       76,      2.2,     49.0,      6.9,     63.0,      0.0
C0Z100, 2024110605,   1015.2,     21.9,       75,      1.2,     57.0,      7.5,      3.0,      0.0
C0Z100, 2024110606,   1015.7,     21.7,       78,      1.0,     22.0,      3.1,     27.0,      0.0
C0Z100, 2024110607,   1016.5,     22.4,       71,      2.0,     42.0,      6.7,     58.0,      0.0
C0Z100, 2024110608,   1017.3,     22.7,       68,      1.7,     48.0,      6.4,     72.0,      0.0
C0Z100, 2024110609,   1017.8,     23.5,       67,      1.6,     39.0,      6.4,     64.0,      0.0
C0Z100, 2024110610,   1018.1,     23.3,       69,      2.7,     55.0,      7.5,      8.0,      0.0
C0Z100, 2024110611,   1018.0,     23.0,       69,      2.0,     29.0,      7.1,     68.0,      0.0
C0Z100, 2024110612,   1017.2,     23.2,       68,      2.0,     46.0,      7.1,     67.0,      0.0
C0Z100, 2024110613,   1016.3,     24.2,       67,      2.1,     47.0,      9.3,     62.0,      0.0
C0Z100, 2024110614,   1016.2,     23.3,       73,      2.5,     63.0,      9.2,     66.0,      0.0
C0Z100, 2024110615,   1016.3,     23.1,       70,      1.8,     26.0,      9.0,     33.0,      0.0
C0Z100, 2024110616,   1016.4,     22.5,       71,      2.1,     34.0,      7.6,     34.0,      0.0
C0Z100, 2024110617,   1016.7,     22.0,       70,      2.2,     44.0,      7.7,     48.0,      0.0
C0Z100, 2024110618,   1017.3,     22.1,       66,      1.7,     46.0,      7.4,     71.0,      0.0
C0Z100, 2024110619,   1017.2,     22.0,       69,      1.7,     48.0,      6.5,     59.0,      0.0
C0Z100, 2024110620,   1017.4,     21.3,       74,      0.6,     23.0,      5.9,     65.0,      0.0
C0Z100, 2024110621,   1018.2,     21.8,       71,      1.9,     47.0,      6.0,     76.0,      0.0
C0Z100, 2024110622,   1018.1,     21.6,       71,      1.6,     48.0,      6.5,     11.0,      0.0
C0Z100, 2024110623,   1017.9,     21.5,       71,      1.0,     27.0,      5.3,     66.0,      0.0
C0Z100, 2024110624,   1017.2,     20.7,       78,      0.7,     21.0,      3.9,     18.0,      0.0
C0Z100, 2024110701,   1016.4,     20.5,       78,      0.6,     12.0,      2.5,    348.0,      0.0
C0Z100, 2024110702,   1016.0,     20.0,       86,      0.0,      0.0,      1.4,    351.0,      0.0
C0Z100, 2024110703,   1015.8,     20.3,       84,      0.0,      0.0,      2.8,    312.0,      0.0
C0Z100, 2024110704,   1015.5,     19.9,       86,      0.2,      0.0,      3.5,    328.0,      0.0
C0Z100, 2024110705,   1015.9,     19.7,       88,      0.0,      0.0,      1.2,     18.0,      0.0
C0Z100, 2024110706,   1016.8,     19.7,       90,      0.0,      0.0,      1.0,     18.0,      0.0
C0Z100, 2024110707,   1017.4,     19.7,       95,      0.0,      0.0,      0.8,     18.0,      0.0
C0Z100, 2024110708,   1017.9,     21.3,       88,      0.0,      0.0,      1.3,    144.0,      0.0
C0Z100, 2024110709,   1018.1,     22.0,       82,      0.2,      0.0,      1.3,     90.0,      0.0
C0Z100, 2024110710,   1017.5,     25.7,       67,      1.3,     17.0,      4.1,      6.0,      0.0
C0Z100, 2024110711,   1017.1,     23.9,       75,      1.6,     59.0,      3.9,     22.0,      0.0
C0Z100, 2024110712,   1016.8,     24.1,       76,      1.8,     52.0,      5.8,     57.0,      0.0
C0Z100, 2024110713,   1015.9,     24.7,       77,      1.6,     41.0,      4.7,     44.0,      0.0
C0Z100, 2024110714,   1015.4,     24.9,       71,      1.3,     62.0,      6.8,     60.0,      0.0
C0Z100, 2024110715,   1015.2,     23.7,       78,      1.7,     32.0,      5.3,     10.0,      0.0
